time,vehicles
15178,0
15184,0
15200,1
15206,0
15212,0
15218,0
15224,0
15230,0
15236,0
15242,0
15248,0
15254,0
15260,0
15266,1
15272,0
15278,0
15284,0
15300,0
15306,0
15312,0
15318,0
15324,0
15330,0
15336,0
15342,0
15348,0
15354,0
15360,0
15366,1
15372,0
15378,0
15384,1
15400,1
15406,0
15412,0
15418,1
15424,1
15430,0
15436,0
15442,1
15448,0
15454,0
15460,0
15466,0
15472,0
15478,0
15484,0
15500,0
15506,0
15512,0
15518,0
15524,0
15530,0
15536,0
15542,1
15548,0
15554,0
15560,0
15566,0
15572,0
15578,0
15584,0
15600,1
15606,0
15612,0
15618,0
15624,0
15630,0
15636,0
15642,0
15648,0
15654,0
15660,0
15666,0
15672,0
15678,1
15684,0
15700,0
15706,0
15712,0
15718,1
15724,1
15730,0
15736,0
15742,0
15748,1
15754,0
15760,0
15766,2
15772,1
15778,0
15784,0
15800,1
15806,0
15812,0
15818,0
15824,0
15830,0
15836,0
15842,2
15848,0
15854,0
15860,1
15866,0
15872,0
15878,0
15884,1
15900,0
15906,1
15912,1
15918,0
15924,0
15930,0
15936,0
15942,0
15948,1
15954,1
15960,0
15966,0
15972,0
15978,0
15984,0
16000,1
16006,0
16012,0
16018,0
16024,0
16030,1
16036,0
16042,0
16048,0
16054,0
16060,0
16066,1
16072,1
16078,0
16084,0
16100,0
16106,0
16112,0
16118,0
16124,0
16130,1
16136,2
16142,0
16148,0
16154,0
16160,0
16166,0
16172,0
16178,1
16184,0
16200,1
16206,1
16212,0
16218,0
16224,1
16230,0
16236,1
16242,0
16248,0
16254,0
16260,0
16266,0
16272,0
16278,0
16284,0
16300,1
16306,0
16312,1
16318,1
16324,0
16330,0
16336,1
16342,1
16348,0
16354,0
16360,0
16366,0
16372,0
16378,0
16384,1
16400,0
16406,0
16412,0
16418,0
16424,0
16430,0
16436,0
16442,0
16448,1
16454,0
16460,0
16466,0
16472,0
16478,0
16484,0
16500,0
16506,0
16512,0
16518,0
16524,0
16530,0
16536,0
16542,0
16548,0
16554,0
16560,0
16566,0
16572,0
16578,0
16584,0
16600,0
16606,0
16612,0
16618,1
16624,0
16630,0
16636,0
16642,0
16648,0
16654,0
16660,0
16666,0
16672,0
16678,0
16684,0
16700,1
16706,0
16712,0
16718,0
16724,0
16730,0
16736,0
16742,0
16748,0
16754,0
16760,0
16766,0
16772,0
16778,0
16784,0
16800,0
16806,0
16812,0
16818,0
16824,0
16830,0
16836,0
16842,0
16848,0
16854,0
16860,0
16866,0
16872,0
16878,0
16884,0
16900,0
16906,0
16912,0
16918,0
16924,0
16930,0
16936,0
16942,0
16948,0
16954,0
16960,0
16966,0
16972,0
16978,0
16984,0
17000,0
17006,0
17012,1
17018,0
17024,1
17030,0
17036,0
17042,1
17048,0
17054,0
17060,0
17066,0
17072,0
17078,0
17084,0
17100,0
17106,0
17112,0
17118,0
17124,1
17130,0
17136,0
17142,0
17148,0
17154,0
17160,0
17166,0
17172,0
17178,0
17184,0
17200,0
17206,1
17212,0
17218,0
17224,0
17230,0
17236,0
17242,0
17248,0
17254,0
17260,0
17266,0
17272,0
17278,0
17284,0
17300,0
17306,0
17312,0
17318,0
17324,0
17330,0
17336,0
17342,0
17348,0
17354,0
17360,0
17366,0
17372,0
17378,0
17384,0
17400,0
17406,0
17412,0
17418,0
17424,0
17430,0
17436,0
17442,0
17448,0
17454,0
17460,0
17466,0
17472,0
17478,0
17484,0
